days,all_users,activated_users
01-01-2013 00:00,13,7
02-01-2013 00:00,11,7
03-01-2013 00:00,14,6
04-01-2013 00:00,11,1
05-01-2013 00:00,3,2
06-01-2013 00:00,4,3
07-01-2013 00:00,13,4
08-01-2013 00:00,13,2
09-01-2013 00:00,11,6
10-01-2013 00:00,12,6
11-01-2013 00:00,11,6
12-01-2013 00:00,4,3
13-01-2013 00:00,3,2
14-01-2013 00:00,13,8
15-01-2013 00:00,15,11
16-01-2013 00:00,14,7
17-01-2013 00:00,13,9
18-01-2013 00:00,14,10
19-01-2013 00:00,4,1
20-01-2013 00:00,4,1
21-01-2013 00:00,12,6
